x_in,y_in,z_in,x_out,y_out,z_out
46.485819,63.610853,0.000000,32.583606,60.919642,0.000000
45.828243,62.843219,0.000000,31.892177,60.040648,0.000000
45.170250,62.075932,0.000000,31.200478,59.161867,0.000000
44.511911,61.308948,0.000000,30.508539,58.283275,0.000000
43.853285,60.542208,0.000000,29.816390,57.404848,0.000000
43.194437,59.775659,0.000000,29.124063,56.526563,0.000000
42.535429,59.009247,0.000000,28.431586,55.648394,0.000000
41.876325,58.242918,0.000000,27.738991,54.770319,0.000000
41.217187,57.476618,0.000000,27.046309,53.892313,0.000000
40.558080,56.710294,0.000000,26.353568,53.014353,0.000000
39.899056,55.943896,0.000000,25.660801,52.136414,0.000000
39.240141,55.177413,0.000000,24.968036,51.258472,0.000000
38.581338,54.410824,0.000000,24.275305,50.380505,0.000000
37.922670,53.644129,0.000000,23.582637,49.502487,0.000000
37.264139,52.877306,0.000000,22.890073,48.624386,0.000000
36.605768,52.110356,0.000000,22.197700,47.746135,0.000000
35.947558,51.343258,0.000000,21.505618,46.867650,0.000000
35.289533,50.576010,0.000000,20.813937,45.988860,0.000000
34.631695,49.808594,0.000000,20.122746,45.109667,0.000000
33.974064,49.041007,0.000000,19.432168,44.230018,0.000000
33.316647,48.273231,0.000000,18.742279,43.349795,0.000000
32.659460,47.505261,0.000000,18.053216,42.468962,0.000000
32.002516,46.737085,0.000000,17.365047,41.587392,0.000000
31.345823,45.968690,0.000000,16.677876,40.705095,0.000000
30.689398,45.200071,0.000000,15.990291,39.823143,0.000000
30.033249,44.431211,0.000000,15.299137,38.943941,0.000000
29.377394,43.662106,0.000000,14.601323,38.070126,0.000000
28.721839,42.892740,0.000000,13.893672,37.204116,0.000000
28.066602,42.123108,0.000000,13.169198,36.351465,0.000000
27.411690,41.353195,0.000000,12.381104,35.558888,0.000000
26.757119,40.582996,0.000000,11.469731,34.913989,0.000000
26.102900,39.812496,0.000000,10.438123,34.483923,0.000000
25.449044,39.041687,0.000000,9.337118,34.296257,0.000000
24.795463,38.270639,0.000000,8.223057,34.363711,0.000000
24.141669,37.499771,0.000000,7.142659,34.650268,0.000000
23.487067,36.729588,0.000000,6.126683,35.119930,0.000000
22.831070,35.960599,0.000000,5.232265,35.788219,0.000000
